[train: 1, 550 / 937] FPS: 61.9 (63.3)  ,  DataTime: 0.019 (0.012)  ,  ForwardTime: 0.487  ,  TotalTime: 0.517  ,  Loss/total: 0.88393  ,  Loss/giou: 0.21209  ,  Loss/l1: 0.02005  ,  Loss/location: 0.35950  ,  IoU: 0.80480
[train: 1, 600 / 937] FPS: 61.9 (62.0)  ,  DataTime: 0.019 (0.012)  ,  ForwardTime: 0.486  ,  TotalTime: 0.517  ,  Loss/total: 0.87676  ,  Loss/giou: 0.21096  ,  Loss/l1: 0.01990  ,  Loss/location: 0.35533  ,  IoU: 0.80584
[train: 1, 600 / 937] FPS: 61.9 (62.3)  ,  DataTime: 0.019 (0.012)  ,  ForwardTime: 0.487  ,  TotalTime: 0.517  ,  Loss/total: 0.88015  ,  Loss/giou: 0.21148  ,  Loss/l1: 0.02004  ,  Loss/location: 0.35698  ,  IoU: 0.80552
[train: 1, 650 / 937] FPS: 61.9 (62.4)  ,  DataTime: 0.018 (0.012)  ,  ForwardTime: 0.487  ,  TotalTime: 0.517  ,  Loss/total: 0.87575  ,  Loss/giou: 0.21045  ,  Loss/l1: 0.01992  ,  Loss/location: 0.35527  ,  IoU: 0.80642
[train: 1, 650 / 937] FPS: 61.9 (62.5)  ,  DataTime: 0.019 (0.012)  ,  ForwardTime: 0.486  ,  TotalTime: 0.517  ,  Loss/total: 0.87367  ,  Loss/giou: 0.20986  ,  Loss/l1: 0.01975  ,  Loss/location: 0.35520  ,  IoU: 0.80673
[train: 1, 700 / 937] FPS: 62.0 (63.9)  ,  DataTime: 0.018 (0.012)  ,  ForwardTime: 0.486  ,  TotalTime: 0.516  ,  Loss/total: 0.86753  ,  Loss/giou: 0.20862  ,  Loss/l1: 0.01960  ,  Loss/location: 0.35231  ,  IoU: 0.80781
[train: 1, 700 / 937] FPS: 62.0 (62.3)  ,  DataTime: 0.018 (0.012)  ,  ForwardTime: 0.486  ,  TotalTime: 0.516  ,  Loss/total: 0.86928  ,  Loss/giou: 0.20882  ,  Loss/l1: 0.01969  ,  Loss/location: 0.35320  ,  IoU: 0.80771
[train: 1, 750 / 937] FPS: 62.0 (61.7)  ,  DataTime: 0.018 (0.012)  ,  ForwardTime: 0.486  ,  TotalTime: 0.516  ,  Loss/total: 0.86459  ,  Loss/giou: 0.20771  ,  Loss/l1: 0.01956  ,  Loss/location: 0.35135  ,  IoU: 0.80862
[train: 1, 750 / 937] FPS: 62.0 (62.8)  ,  DataTime: 0.018 (0.012)  ,  ForwardTime: 0.486  ,  TotalTime: 0.516  ,  Loss/total: 0.86182  ,  Loss/giou: 0.20719  ,  Loss/l1: 0.01937  ,  Loss/location: 0.35059  ,  IoU: 0.80889
[train: 1, 800 / 937] FPS: 62.0 (62.7)  ,  DataTime: 0.018 (0.012)  ,  ForwardTime: 0.486  ,  TotalTime: 0.516  ,  Loss/total: 0.86040  ,  Loss/giou: 0.20667  ,  Loss/l1: 0.01942  ,  Loss/location: 0.34995  ,  IoU: 0.80944
[train: 1, 800 / 937] FPS: 62.0 (61.6)  ,  DataTime: 0.018 (0.012)  ,  ForwardTime: 0.486  ,  TotalTime: 0.516  ,  Loss/total: 0.85939  ,  Loss/giou: 0.20654  ,  Loss/l1: 0.01929  ,  Loss/location: 0.34986  ,  IoU: 0.80941
[train: 1, 850 / 937] FPS: 62.0 (63.5)  ,  DataTime: 0.018 (0.012)  ,  ForwardTime: 0.486  ,  TotalTime: 0.516  ,  Loss/total: 0.85540  ,  Loss/giou: 0.20560  ,  Loss/l1: 0.01929  ,  Loss/location: 0.34774  ,  IoU: 0.81036
[train: 1, 850 / 937] FPS: 62.0 (62.9)  ,  DataTime: 0.018 (0.012)  ,  ForwardTime: 0.486  ,  TotalTime: 0.516  ,  Loss/total: 0.85485  ,  Loss/giou: 0.20546  ,  Loss/l1: 0.01917  ,  Loss/location: 0.34809  ,  IoU: 0.81035
[train: 1, 900 / 937] FPS: 62.0 (63.4)  ,  DataTime: 0.018 (0.012)  ,  ForwardTime: 0.486  ,  TotalTime: 0.516  ,  Loss/total: 0.85163  ,  Loss/giou: 0.20489  ,  Loss/l1: 0.01910  ,  Loss/location: 0.34637  ,  IoU: 0.81088
[train: 1, 900 / 937] FPS: 62.0 (62.0)  ,  DataTime: 0.018 (0.012)  ,  ForwardTime: 0.486  ,  TotalTime: 0.516  ,  Loss/total: 0.85321  ,  Loss/giou: 0.20533  ,  Loss/l1: 0.01925  ,  Loss/location: 0.34632  ,  IoU: 0.81053
[train: 1, 937 / 937] FPS: 62.1 (63.1)  ,  DataTime: 0.018 (0.012)  ,  ForwardTime: 0.486  ,  TotalTime: 0.516  ,  Loss/total: 0.84894  ,  Loss/giou: 0.20428  ,  Loss/l1: 0.01903  ,  Loss/location: 0.34522  ,  IoU: 0.81146
